title,umap_x,umap_y,sentiment_score,media_name
"Threats in U.S. rising after Hamas attack on Israel, says FBI Director Christopher Wray",10.376426,7.125958,8.0,cbsnews.com
"Israel says 4 hostages, including Noa Argamani, rescued in Gaza operation",12.377982,9.680345,7.0,cbsnews.com
Dueling rallies for Israel and Palestine held in Skokie,11.232515,5.883727,5.0,cbsnews.com
"Israel's Netanyahu is determined to launch a ground offensive in Rafah. Here's why, and why it matters.",6.1076427,9.468066,8.0,cbsnews.com
"Hezbollah commander behind Golan Heights attack killed, Israel says",4.292551,8.846804,8.0,cbsnews.com
U.S. adds pressure on Israel to loosen restrictions on convoys of food trucks in Gaza,8.043987,7.522726,3.0,cbsnews.com
Concerns grow over free speech in Israel amid war,10.182829,6.163543,5.0,cbsnews.com
"Gaza officials say Israeli strike hits school as IDF recovers remains of 6 hostages and Biden says Hamas ""backing away"" from cease-fire proposal",8.5915785,9.671306,5.0,cbsnews.com
Israel's military hints at Lebanon ground operations against Hezbollah,3.85006,8.021447,8.0,cbsnews.com
Doctor describes abuses suffered by Hamas hostages,11.994912,8.850092,5.0,cbsnews.com
"House plans vote on standalone Israel aid bill next week, Speaker Johnson says",5.943145,4.6407084,5.0,cbsnews.com
Pro Palestine rally held in Dallas day after Israel and Hamas at war,11.375003,5.7364135,5.0,cbsnews.com
Pro-Palestinian protesters briefly interrupt University of Michigan graduation ceremony,12.022691,6.006635,5.0,cbsnews.com
"Israeli forces, Palestinians clash in West Bank; fuel blockade threatens Gaza relief operations",7.8900285,11.102622,5.0,cbsnews.com
Netanyahu approves plans for Israel's military operation in Rafah,6.1098185,9.588993,8.0,cbsnews.com
See inside the biggest Hamas tunnel Israel's military says it has found in Gaza,10.016558,8.905784,10.0,cbsnews.com
Biden says U.S. won't supply Israel with weapons if it launches Rafah offensive,6.2558064,7.8113484,5.0,cbsnews.com
Biden expects Iran will attack Israel sooner rather than later,6.2943354,4.9923887,8.0,cbsnews.com
Israel-Hamas cease-fire talks set to pick up this week,8.947252,5.6641526,5.0,cbsnews.com
Hundreds attend service at UWS synagogue to show support for Israel,11.640435,5.621782,5.0,cbsnews.com
Biden calls for humanitarian pause in Israel-Hamas war amid pressure from human rights groups,7.3823104,4.75684,5.0,cbsnews.com
Israel-Hamas war combat resumes in Gaza as Israelis accuse the Palestinian group of violating cease-fire,8.591496,5.731185,8.0,cbsnews.com
"Israeli airstrikes on Gaza left at least 70 dead, Hamas-run health ministry says",8.212023,9.823978,5.0,cbsnews.com
